Name,Latitude,Longitude,Street Address,Address Locality,Address Region,Postal Code,Phone,Website,Email,Direction
Bonavista LeisureScapes,43.835109,-79.357401,105 Vanderhoof Ave. Unit 4,Toronto,ON,M4G 2H7,(416) 645-6980,http://www.bonavistapools.com,jennifer@bonavistapools.com,http://maps.google.com/maps?saddr=&daddr=105 Vanderhoof Ave Unit 4 Toronto ON M4G 2H7 CA
Acapulco Pools,43.473391,-80.437917,1550 Victoria Street N.,Kitchener,ON,N2B 3E2,(519) 743-6357,http://www.acapulcopools.com,info@acapulcopools.com,http://maps.google.com/maps?saddr=&daddr=1550 Victoria Street N Kitchener ON N2B 3E2 CA
Ashton Pools,43.442367,-80.472755,4500 King Street E.,Kitchener,ON,N2H 5G4,(519) 653-8103,http://www.ashtonpools.com,info@ashtonpools.com,http://maps.google.com/maps?saddr=&daddr=4500 King Street E Kitchener ON N2H 5G4 CA
Backyard Watercreations Inc,42.877352,-80.745717,583 Broadway Street,Tillsonburg,ON,N4G 3S8,519-842-6695,http://www.backyardwatercreations.ca,poolandspa@sympatico.ca,http://maps.google.com/maps?saddr=&daddr=583 Broadway Street Tillsonburg ON N4G 3S8 CA
Custom Pool & Spa,43.362167,-80.991053,404 Erie Street,Stratford,ON,N5A 2N4,(519) 273-0976,http://custompoolandspa.ca/,,http://maps.google.com/maps?saddr=&daddr=404 Erie Street Stratford ON N5A 2N4 CA
BLUE HORIZON POOL & SPA,43.713799,-81.665664,79995 PONDSVIEW RD,GODERICH,ON,N7A 3X8,519-524-9804,,shawnbruinsma@hotmail.com,http://maps.google.com/maps?saddr=&daddr=79995 PONDSVIEW RD GODERICH ON N7A 3X8 CA
Blue Water Pools,42.391416,-82.216343,350 Riverview Drive,Chatham,ON,N7M 5J5,(519) 354-9142,,bwpools@mac.com,http://maps.google.com/maps?saddr=&daddr=350 Riverview Drive Chatham ON N7M 5J5 CA
Erie Accent Pools &Spas Inc.,42.047709,-82.619201,"147 Oak Street W, Unit 1",Lemington,ON,N8H 2B8,519-324-9777,http://www.erieaccentpools.com,krystan@erieaccentpools.com,http://maps.google.com/maps?saddr=&daddr=147 Oak Street W Lemington ON N8H 2B8 CA
Designer Pools & Spas,48.467312,-81.327396,429 Spruce St. S,Timmins,ON,P4N 2N6,705-267-6488,https://designerpools.ca,designerpools@vianet.ca,http://maps.google.com/maps?saddr=&daddr=429 Spruce St S Timmins ON P4N 2N6 CA
Island Hot Tubs & Pools Inc.,46.40086,-63.79001,26149 Hwy 2 Travellers Rest,Summerside,PE,C1N 4J8,1-902-888-2734,,pools@eastlink.ca,http://maps.google.com/maps?saddr=&daddr=26149 Hwy 2 Travellers Rest Summerside PE C1N 4J8 CA
Val-Morin Pools,45.496552,-73.729188,5042 Thimens Blvd.,Montreal,QC,H4R 2L6,(514) 856-7738,http://www.valmorin.com,afauvel@valmorin.com,http://maps.google.com/maps?saddr=&daddr=5042 Thimens Blvd Montreal QC H4R 2L6 CA
Piscines et Spas POSEIDON,45.574614,-73.479686,2220 Marie-Victorin,Longueuil,QC,J4G 1B1,(450) 468-7378,https://www.psposeidon.com,info@psposeidon.com,http://maps.google.com/maps?saddr=&daddr=2220 MarieVictorin Longueuil QC J4G 1B1 CA
Poseidon,45.568892,-73.473744,475 Le Breton,Longueuil,QC,J4G 1R9,450-468-7378,https://www.psposeidon.com,Info@psposeidon.com,http://maps.google.com/maps?saddr=&daddr=475 Le Breton Longueuil QC J4G 1R9 CA
Aqua Solutions,45.624988,-73.831108,755 Boul. Cure-Boivin #17,Boisbriand,QC,J7G 2J2,(450) 433-0047,http://www.aqua-solutions.ca,info@aqua-solutions.ca,http://maps.google.com/maps?saddr=&daddr=755 Boul CureBoivin 17 Boisbriand QC J7G 2J2 CA
Piscines Bleu-Marin Pools,45.388461,-75.827095,23 Rue Eastern,Gatineau,QC,J9H 2L2,8199234033,https://www.bleu-marin.com/,daniel@bleu-marin.com,http://maps.google.com/maps?saddr=&daddr=23 Rue Eastern Gatineau QC J9H 2L2 CA
Paradise Pools Inc.,50.458629,-104.605272,1250 Osler St.,Regina,SK,S4R 1W5,306-525-0508,https://www.paradiseleisurescapes.com/,ron@paradiseleisurescapes.com,http://maps.google.com/maps?saddr=&daddr=1250 Osler St Regina SK S4R 1W5 CA
